67.0718 -4.08906 -33.2305 7.84522
67.0718 -4.08906 -33.2305 7.84522
-20.7689 6.9554 5.7346 -3.94546
-20.7689 6.9554 5.7346 -3.94546
-20.7689 6.9554 5.7346 -3.94546
-20.7689 6.9554 5.7346 -3.94546
9.02036 6.94106 5.74999 -3.93973
-21.617 1.11368 13.826 -3.48754
-21.617 1.11368 13.826 -3.48754
0.0573292 -7.01923 5.24282 -1.76826
-4.85225 6.95236 5.73114 -3.94546
4.9655 1.46643 -0.703215 -0.908249
4.9655 1.46643 -0.703215 -0.908249
-4.61873 -0.104631 6.1309 -2.44777
-4.67463 10.0034 5.75121 -3.93824
-7.18642 -1.33997 5.29094 -1.75242
-7.18642 -1.33997 5.29094 -1.75242
-7.51891 0.562009 5.25054 -1.77556
-5.39868 4.18982 5.51901 -2.69845
-7.85814 4.02104 5.5046 -2.66046
-6.27851 4.05734 5.53807 -2.6731
-6.27851 4.05734 5.53807 -2.6731
-6.27851 4.05734 5.53807 -2.6731
-6.27851 4.05734 5.53807 -2.6731
-7.09823 4.89841 5.4852 -2.67432
-7.11699 4.51171 5.50269 -2.66834
-7.11699 4.51171 5.50269 -2.66834
-6.96768 4.47171 5.5094 -2.66
-6.96768 4.47171 5.5094 -2.66
-6.96768 4.47171 5.5094 -2.66
-7.03739 4.78821 5.45326 -2.67608
-7.03739 4.78821 5.45326 -2.67608
-6.96768 4.47171 5.50011 -2.66
-7.16373 4.56439 5.47614 -2.65871
-6.97574 4.45441 5.46708 -2.65478
-6.96165 4.46582 5.44895 -2.65429
-6.96165 4.46582 5.44895 -2.65429
-6.96165 4.46582 5.44895 -2.65429
-6.91596 4.46743 5.44865 -2.63663
-6.91596 4.46743 5.44865 -2.63663
-6.91596 4.46743 5.44865 -2.63663
-7.0055 4.50605 5.43267 -2.64675
-6.90969 4.44985 5.42555 -2.64009
-6.93759 4.24753 5.4276 -2.62281
-7.04055 4.21828 5.44773 -2.5975
-6.92335 4.42879 5.41558 -2.62595
-7.02014 4.43998 5.38956 -2.62002
-6.9867 4.43998 5.38105 -2.62032
-6.93539 4.4392 5.38559 -2.62002
-6.98442 4.43998 5.38105 -2.61282
-6.70671 4.44796 5.37395 -2.61826
-6.95386 4.44322 5.37059 -2.62002
-6.94044 4.42481 5.37251 -2.61672
-6.91411 4.43978 5.36397 -2.62002
-6.96353 4.44415 5.37061 -2.60661
-6.88018 4.22312 5.37706 -2.59757
-6.89478 4.42577 5.35446 -2.61343
-6.95516 4.42402 5.3615 -2.59254
-6.96242 4.27935 5.37166 -2.58527
-6.98143 4.27935 5.36313 -2.58309
-6.9561 4.28833 5.35554 -2.581
-6.9561 4.28833 5.35554 -2.581
-6.91718 4.20676 5.35864 -2.56904
-6.94004 4.4064 5.33469 -2.5853
-6.92405 4.35124 5.33952 -2.57429
-6.8657 4.23334 5.34093 -2.57481
-6.93362 4.28802 5.33381 -2.57254
-6.92726 4.28645 5.32956 -2.56105
-6.85625 4.28645 5.32479 -2.56678
-6.92634 4.23716 5.31886 -2.56014
